tissue	anchor	offset_nt	psites	n_tx	psites_norm
pooled	stop	-135	9632333	568512	7090.720236
pooled	stop	-134	1318834	568512	995.833909
pooled	stop	-133	1059846	568536	1114.076564
pooled	stop	-132	8855082	568552	7014.197941
pooled	stop	-131	1064976	568560	960.617379
pooled	stop	-130	933997	568560	1037.527705
pooled	stop	-129	8865240	568576	7012.734169
pooled	stop	-128	1143925	568592	967.518597
pooled	stop	-127	1107447	568600	1080.298431
pooled	stop	-126	8966390	568608	7069.324006
pooled	stop	-125	1188621	568616	990.772560
pooled	stop	-124	1158388	568616	1046.660949
pooled	stop	-123	10682058	568656	6967.191252
pooled	stop	-122	1203245	568656	1005.101872
pooled	stop	-121	1175329	568664	1077.275635
pooled	stop	-120	9555323	568664	7093.860557
pooled	stop	-119	1240583	568672	964.186089
pooled	stop	-118	1093048	568672	1014.535125
pooled	stop	-117	9941785	568672	6906.137932
pooled	stop	-116	1154427	568680	971.728791
pooled	stop	-115	1035759	568688	1022.076916
pooled	stop	-114	9565885	568696	6829.887884
pooled	stop	-113	1132459	568704	978.937397
pooled	stop	-112	1092813	568712	1018.494400
pooled	stop	-111	9774501	568720	6847.044241
pooled	stop	-110	1048903	568720	958.530687
pooled	stop	-109	1280681	568728	1056.560480
pooled	stop	-108	10000487	568728	6960.079634
pooled	stop	-107	1175254	568736	970.372868
pooled	stop	-106	1200816	568744	1057.263151
pooled	stop	-105	9362857	568760	6633.289809
pooled	stop	-104	1161474	568760	946.193542
pooled	stop	-103	1115672	568768	1032.515360
pooled	stop	-102	9348776	568768	6810.346225
pooled	stop	-101	1265194	568776	966.004090
pooled	stop	-100	1360305	568784	1072.332387
pooled	stop	-99	10294383	568792	6847.301549
pooled	stop	-98	1097739	568792	928.290713
pooled	stop	-97	1212775	568800	1031.895154
pooled	stop	-96	8893412	568808	6788.358382
pooled	stop	-95	1166349	568816	952.860370
pooled	stop	-94	1231144	568824	1059.820959
pooled	stop	-93	9787543	568848	7067.447845
pooled	stop	-92	1079254	568856	991.250875
pooled	stop	-91	1043756	568856	994.356186
pooled	stop	-90	10241420	568856	6674.998474
pooled	stop	-89	1653538	568856	960.777321
pooled	stop	-88	1342842	568856	1023.291357
pooled	stop	-87	12240543	568856	6871.572640
pooled	stop	-86	1269279	568856	939.697455
pooled	stop	-85	1093071	568856	1074.125821
pooled	stop	-84	10946331	568872	6735.360326
pooled	stop	-83	1172046	568872	950.764852
pooled	stop	-82	1248646	568872	1024.683020
pooled	stop	-81	9624107	568880	6841.022075
pooled	stop	-80	1163980	568880	900.386607
pooled	stop	-79	1142183	568880	984.584766
pooled	stop	-78	9688712	568880	6813.364716
pooled	stop	-77	1203177	568880	987.009153
pooled	stop	-76	1301890	568880	1046.158666
pooled	stop	-75	10102980	568888	6748.681497
pooled	stop	-74	1109878	568896	932.399317
pooled	stop	-73	1053556	568904	1058.269414
