dataset	run	assay	posture	n_raw	n_kept	pct_trimmed_kept	pct_with_adapter	n_input	avg_len	pct_unique	pct_multi	pct_multi_many	pct_short
zf_gse46512_ribo	SRR836199	ribo	mm1	121349883	118907659	98.0	98.3	118907659	31	10.28	0.0	86.77	0.98
primate_pt_rna	ERR12549882	rna	mm10	72531441	72512364	100.0		72512364	150	85.27	13.21	0.16	1.34
primate_pt_rna	ERR12549883	rna	mm10	70663355	70635654	100.0		70635654	150	90.18	8.44	0.36	1.0
primate_pt_rna	ERR12549884	rna	mm10	51934509	51880120	99.9		51880120	150	86.73	9.56	0.28	3.42
primate_pt_rna	ERR12549885	rna	mm10	63961836	63900381	99.9		63900381	150	92.63	5.13	0.25	1.97
primate_pt_rna	ERR12549886	rna	mm10	72135245	72033856	99.9		72033856	150	82.42	15.57	0.16	1.84
primate_pt_rna	ERR12549896	rna	mm10	64927470	64902881	100.0		64902881	150	93.6	4.68	0.2	1.49
primate_pt_rna	ERR12549897	rna	mm10	66499839	66474824	100.0		66474824	150	88.02	3.63	0.17	8.14
primate_pt_rna	ERR12549898	rna	mm10	66735548	66711043	100.0		66711043	150	93.62	4.37	0.17	1.81
primate_rm_rna	ERR12549887	rna	mm10	106182033	106102192	99.9		106102192	150	94.21	3.82	0.03	1.83
primate_rm_rna	ERR12549888	rna	mm10	81183017	81107045	99.9		81107045	150	93.7	4.56	0.05	1.57
primate_rm_rna	ERR12549889	rna	mm10	84443159	84369063	99.9		84369063	150	84.39	12.64	0.03	2.83
primate_rm_rna	ERR12549890	rna	mm10	91827656	91755138	99.9		91755138	150	93.76	4.3	0.04	1.77
primate_rm_rna	ERR12549899	rna	mm10	27507694	27503691	100.0		27503691	199	91.76	3.41	0.14	4.58
primate_rm_rna	ERR12549900	rna	mm10	29335320	29330161	100.0		29330161	200	91.6	2.95	0.12	5.23
primate_rm_rna	ERR12549901	rna	mm10	29644164	29638400	100.0		29638400	200	92.53	3.19	0.1	4.09
ruizorera_hsCM_rna	ERR12549891	rna	mm10	29366258	29358352	100.0		29358352	200	82.92	7.69	0.06	9.24
ruizorera_hsCM_rna	ERR12549892	rna	mm10	34083124	33885694	99.4		33885694	200	84.66	10.19	0.06	5.05
ruizorera_hsCM_rna	ERR12549893	rna	mm10	36458917	36445486	100.0		36445486	200	84.49	7.82	0.07	7.56
ruizorera_hsCM_rna	ERR12549894	rna	mm10	33355846	33351752	100.0		33351752	200	84.73	8.83	0.06	6.34
ruizorera_hsCM_rna	ERR12549895	rna	mm10	28515557	28465838	99.8		28465838	200	82.77	7.95	0.06	9.11
worm_gse52861_rna	SRR1041152	rna	mm10	29590020	29590020	100.0		29590020	49	95.28	3.73	0.03	0.92
worm_gse52861_rna	SRR1041154	rna	mm10	23339898	23339898	100.0		23339898	49	95.13	3.69	0.03	1.12
worm_gse52861_rna	SRR1041156	rna	mm10	31313145	31313145	100.0		31313145	49	91.5	7.45	0.02	0.98
worm_gse52861_rna	SRR1041158	rna	mm10	26620501	26620501	100.0		26620501	49	92.56	6.42	0.03	0.94
worm_gse52861_rna	SRR1041160	rna	mm10	37579129	37579129	100.0		37579129	49	95.3	3.5	0.03	1.06
worm_gse52861_rna	SRR1041162	rna	mm10	43762444	43762444	100.0		43762444	49	95.35	3.42	0.05	1.08
worm_gse52861_rna	SRR1041164	rna	mm10	50000000	50000000	100.0		50000000	49	93.1	5.75	0.07	0.98
worm_gse52861_rna	SRR1041165	rna	mm10	6499351	6499351	100.0		6499351	49	92.91	5.72	0.07	1.26
worm_gse52861_rna	SRR1041167	rna	mm10	50000000	50000000	100.0		50000000	49	92.08	6.55	0.09	1.17
worm_gse52861_rna	SRR1041168	rna	mm10	728105	728105	100.0		728105	49	91.25	6.42	0.09	2.2
yeast_gse173654_rna	SRR26680410	rna	mm10	12719581	12719581	100.0		12719581	131	62.32	33.61	0.13	3.94
yeast_gse173654_rna	SRR26680411	rna	mm10	17336427	17336427	100.0		17336427	131	73.76	22.47	0.12	3.65
yeast_gse173654_rna	SRR26680412	rna	mm10	12176666	12176666	100.0		12176666	131	74.82	21.0	0.05	4.12
yeast_gse173654_rna	SRR26680413	rna	mm10	15056273	15056273	100.0		15056273	132	60.42	36.49	0.04	3.06
yeast_gse173654_rna	SRR26680414	rna	mm10	12455856	12455856	100.0		12455856	130	77.09	6.12	0.08	16.71
yeast_gse173654_rna	SRR26680415	rna	mm10	17033644	17033644	100.0		17033644	130	75.12	7.13	0.08	17.65
yeast_gse173654_rna	SRR26680416	rna	mm10	14359405	14359405	100.0		14359405	131	86.93	7.7	0.18	5.18
yeast_gse173654_rna	SRR26680417	rna	mm10	13625503	13625503	100.0		13625503	131	88.33	6.23	0.2	5.23
yeast_gse173654_rna	SRR26680418	rna	mm10	13222557	13222557	100.0		13222557	130	89.23	7.65	0.42	2.7
yeast_gse173654_rna	SRR26680419	rna	mm10	13864265	13864265	100.0		13864265	131	87.14	9.84	0.43	2.59
yeast_gse173654_rna	SRR26680420	rna	mm10	10733736	10733736	100.0		10733736	133	85.69	10.64	0.05	3.62
yeast_gse173654_rna	SRR26680421	rna	mm10	12684105	12684105	100.0		12684105	133	80.57	15.93	0.04	3.45
yeast_gse173654_rna	SRR26680422	rna	mm10	14881644	14881644	100.0		14881644	131	81.51	10.73	0.94	6.82
yeast_gse173654_rna	SRR26680423	rna	mm10	16103038	16103038	100.0		16103038	132	82.46	9.85	0.91	6.78
yeast_gse173654_rna	SRR26680424	rna	mm10	13738161	13738161	100.0		13738161	132	81.62	12.74	0.08	5.56
yeast_gse173654_rna	SRR26680425	rna	mm10	12464586	12464586	100.0		12464586	132	78.98	15.9	0.07	5.06
zf_gse70549_rna	SRR2087761	rna	mm10	16405284	16400345	100.0		16400345	151	71.58	15.47	0.07	12.85
zf_gse70549_rna	SRR2087762	rna	mm10	16164090	16159483	100.0		16159483	151	71.79	15.49	0.07	12.61
zf_gse70549_rna	SRR2087763	rna	mm10	14614266	14614266	100.0		14614266	151	71.91	15.5	0.07	12.48
zf_gse70549_rna	SRR2087764	rna	mm10	18381570	18376020	100.0		18376020	151	72.21	16.24	0.08	11.43
zf_gse70549_rna	SRR2087766	rna	mm10	16554589	16554589	100.0		16554589	151	72.78	16.32	0.08	10.78
zf_gse70549_rna	SRR2087767	rna	mm10	15909763	15905078	100.0		15905078	151	72.53	16.04	0.09	11.32
zf_gse70549_rna	SRR2087768	rna	mm10	15969908	15965302	100.0		15965302	151	72.69	16.05	0.09	11.14
zf_gse70549_rna	SRR2087769	rna	mm10	13946018	13946018	100.0		13946018	151	73.0	16.1	0.09	10.77
zf_gse70549_rna	SRR2087770	rna	mm10	18379138	18373683	100.0		18373683	151	71.72	16.81	0.23	11.16
zf_gse70549_rna	SRR2087771	rna	mm10	18349862	18344501	100.0		18344501	151	71.88	16.81	0.24	10.99
zf_gse70549_rna	SRR2087772	rna	mm10	16022011	16022011	100.0		16022011	151	72.33	16.9	0.23	10.44
zf_gse70549_rna	SRR2087773	rna	mm10	18804866	18799097	100.0		18799097	151	69.06	16.41	0.28	14.18
zf_gse70549_rna	SRR2087774	rna	mm10	18542117	18536528	100.0		18536528	151	69.32	16.44	0.27	13.9
zf_gse70549_rna	SRR2087775	rna	mm10	16741555	16741555	100.0		16741555	151	69.48	16.48	0.27	13.69
zf_gse70549_rna	SRR2087776	rna	mm10	17524868	17519651	100.0		17519651	151	70.37	16.12	0.55	12.85
zf_gse70549_rna	SRR2087777	rna	mm10	17249317	17244232	100.0		17244232	151	70.56	16.15	0.55	12.62
zf_gse70549_rna	SRR2087778	rna	mm10	15554114	15554114	100.0		15554114	151	70.85	16.21	0.55	12.26
zf_gse70549_rna	SRR2087779	rna	mm10	18983655	18977792	100.0		18977792	151	70.83	17.94	0.17	10.88
zf_gse70549_rna	SRR2087780	rna	mm10	18653892	18648390	100.0		18648390	151	70.98	17.95	0.17	10.72
zf_gse70549_rna	SRR2087781	rna	mm10	16881925	16881925	100.0		16881925	151	71.41	18.07	0.17	10.15
zf_gse70549_rna	SRR2087782	rna	mm10	18916058	18910416	100.0		18910416	151	72.07	18.09	0.13	9.62
zf_gse70549_rna	SRR2087783	rna	mm10	18620566	18615218	100.0		18615218	151	72.17	18.11	0.13	9.5
zf_gse70549_rna	SRR2087784	rna	mm10	16746687	16746687	100.0		16746687	151	72.83	18.27	0.13	8.67
